addr	timept	g	range
99	1.0	4.165191650390623e-06	4
99	0.01	5.364990234374999e-06	4
99	4.0	1.1792755126953122e-06	4
99	0.1	6.3064575195312475e-06	4
100	0.1	3.916015624999999e-05	31
100	0.0	3.90380859375e-05	31
100	0.01	3.93408203125e-05	31
100	100000.0	3.868164062500001e-05	31
100	1.0	3.770263671874999e-05	31
101	0.1	2.6527099609374994e-05	25
101	0.01	2.880126953125e-05	25
101	1.0	2.463623046875e-05	25
101	0.0	3.219482421875e-05	25
101	100000.0	2.9013671875e-05	25
102	0.1	4.1040039062499986e-05	30
102	1.0	4.050537109375e-05	30
102	0.0	3.831542968750001e-05	30
102	0.01	3.954589843749999e-05	30
102	100000.0	3.6989746093750015e-05	30
103	0.01	3.729736328124999e-05	29
103	0.1	3.765625e-05	29
103	1.0	3.821533203125e-05	29
103	0.0	3.6396484375e-05	29
103	100000.0	3.6010742187500005e-05	29
104	100000.0	3.3646240234375005e-05	28
104	0.01	3.5653076171874986e-05	28
104	0.1	3.5783691406249995e-05	28
104	0.0	3.573242187499999e-05	28
104	1.0	3.713623046875e-05	28
105	0.0	1.9578857421875e-05	15
105	1.0	1.6270751953125002e-05	15
105	4.0	2.0936279296875e-05	15
105	100000.0	1.1887817382812503e-05	15
105	0.01	2.1878662109375e-05	15
105	0.1	1.9818115234374993e-05	15
106	0.01	9.940185546874997e-06	8
106	0.1	9.949340820312498e-06	8
106	0.0	1.0637817382812497e-05	8
106	100000.0	1.2836303710937503e-05	8
106	1.0	1.019287109375e-05	8
107	100000.0	3.5996093750000004e-05	29
107	0.0	3.626708984374999e-05	29
107	4.0	3.5322265624999994e-05	29
107	0.1	3.613525390625e-05	29
107	0.01	3.66064453125e-05	29
107	1.0	3.5749511718749994e-05	29
108	100000.0	2.7744140625e-05	19
108	0.0	2.4937744140625e-05	19
108	0.1	2.4812011718749993e-05	19
108	0.01	2.4603271484374994e-05	19
108	1.0	2.44873046875e-05	19
109	1.0	3.3574218749999994e-05	26
109	0.1	3.3580322265624987e-05	26
109	100000.0	2.9808349609375012e-05	26
109	0.0	3.262207031249999e-05	26
109	0.01	3.3918457031249986e-05	26
109	4.0	3.0570068359374985e-05	26
110	0.1	2.0360107421875e-05	18
110	4.0	2.0308837890624995e-05	18
110	100000.0	2.2882080078125007e-05	18
110	0.0	2.2746582031249994e-05	18
110	0.01	2.2625732421874995e-05	18
110	1.0	2.038330078125e-05	18
112	100000.0	2.886474609375001e-05	26
112	1.0	3.240966796874999e-05	26
112	0.01	3.2772216796874985e-05	26
112	0.1	3.3132324218749986e-05	26
112	0.0	3.252563476562499e-05	26
113	1.0	3.4344482421874985e-05	25
113	0.01	3.1324462890624994e-05	25
113	0.1	3.209716796875e-05	25
113	0.0	3.1290283203125e-05	25
113	4.0	3.3890380859375e-05	25
113	100000.0	3.4201660156250005e-05	25
114	100000.0	6.899261474609375e-07	2
114	0.0	2.89520263671875e-06	2
114	0.01	2.8753662109375012e-06	2
114	1.0	4.331588745117186e-07	2
114	4.0	4.858779907226561e-07	2
114	0.1	5.755615234375e-07	2
115	4.0	2.325805664062499e-05	18
115	0.0	2.3323974609374992e-05	18
115	100000.0	2.2528076171875e-05	18
115	1.0	2.3599853515624993e-05	18
115	0.1	2.40625e-05	18
115	0.01	2.323486328125e-05	18
116	100000.0	2.7082519531250007e-05	24
116	0.1	3.0911865234374995e-05	24
116	0.0	3.067749023437499e-05	24
116	1.0	3.031982421874999e-05	24
116	0.01	3.0417480468749988e-05	24
117	0.1	3.76953125e-05	29
117	100000.0	3.8002929687499985e-05	29
117	0.01	3.7819824218749985e-05	29
117	0.0	3.7231445312499986e-05	29
117	1.0	3.776123046875e-05	29
118	100000.0	9.8931884765625e-06	12
118	0.0	1.6104736328125e-05	12
118	0.1	1.5561523437499998e-05	12
118	0.01	1.549560546875e-05	12
118	1.0	1.5697021484375e-05	12
118	4.0	1.5501708984374992e-05	12
119	0.0	2.1148681640625e-05	16
119	4.0	2.0275878906250006e-05	16
119	0.1	2.1500244140624994e-05	16
119	1.0	2.1871337890624993e-05	16
119	0.01	2.1279296875e-05	16
119	100000.0	2.2615966796875e-05	16
120	100000.0	1.95556640625e-05	16
120	0.01	2.10302734375e-05	16
120	0.1	2.0596923828124996e-05	16
120	0.0	2.052978515625e-05	16
120	1.0	2.1282958984375e-05	16
121	0.1	3.4024658203125004e-05	26
121	0.0	3.2535400390624985e-05	26
121	100000.0	3.257690429687501e-05	26
121	0.01	3.3531494140624985e-05	26
121	1.0	3.4346923828124994e-05	26
122	4.0	5.932006835937502e-06	5
122	100000.0	7.4584960937499985e-06	5
122	1.0	5.9857177734374986e-06	5
122	0.0	6.385803222656248e-06	5
122	0.01	6.401062011718748e-06	5
122	0.1	6.351013183593749e-06	5
123	0.01	3.7399902343749985e-05	30
123	0.0	3.751220703125e-05	30
123	0.1	3.70849609375e-05	30
123	1.0	3.58056640625e-05	30
123	100000.0	3.30224609375e-05	30
123	4.0	3.439697265625e-05	30
124	0.1	1.5601806640624994e-05	12
124	100000.0	1.9259033203125e-05	12
124	0.01	1.5737304687499994e-05	12
124	1.0	1.7990722656249995e-05	12
124	0.0	1.6071777343749993e-05	12
125	0.01	1.2282562255859377e-06	1
125	0.0	1.5788269042968747e-06	1
125	0.1	7.427215576171873e-07	1
125	4.0	8.308410644531248e-07	1
125	1.0	9.196090698242186e-07	1
125	100000.0	9.847259521484378e-07	1
126	1.0	1.1904296874999996e-05	14
126	0.1	1.1069335937499996e-05	14
126	0.0	1.7812499999999993e-05	14
126	0.01	1.7330932617187495e-05	14
126	100000.0	1.48309326171875e-05	14
127	0.01	3.413940429687499e-05	26
127	100000.0	3.3927001953125e-05	26
127	0.1	3.0423583984374987e-05	26
127	1.0	3.043823242187499e-05	26
127	0.0	3.3695068359374986e-05	26
128	0.01	1.6119384765624993e-05	12
128	0.0	1.5869750976562494e-05	12
128	1.0	1.4744262695312494e-05	12
128	100000.0	1.05914306640625e-05	12
128	0.1	1.5480957031249995e-05	12
129	0.1	2.0277099609375e-05	15
